,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
95,env_weather_wind_gusts_10m_max_futcov_lag6,283.8691174071282,603.2183260917664,791.1772010326385,244.92282428078124,409.67279410362244,506.3172872066498,725.1858201026917,509.1947671750398,4073.558137400318
96,env_weather_wind_gusts_10m_mean_futcov_lag4,412.0931208729744,551.5351673513651,613.4689700603485,501.48522095382214,945.1380857825279,248.8516432195902,287.8012094744481,508.62477395929665,4068.998191674373
97,env_weather_cloud_cover_mean_futcov_lag1,542.3665470536798,204.08037288114429,542.4661675217794,840.7065464965999,618.2224626541138,287.0713984966278,507.6468710899353,506.0800523134115,4048.640418507292
98,ewm_expdecay7_dist_to_nearest_ru_km_pastcov_lag-1,36.14099884033203,95.90587329864502,1067.1464411616325,1070.6956923007965,775.7593995630741,139.30026137828827,357.27778840065,506.03235070620264,4048.258805649621
99,ewm_ewma14_acled_other_rus_disrupted_weapons_use_pastcov_lag-1,352.40699304640293,582.5871220752597,840.6768598556519,658.0855214223266,295.3742259480059,298.98202224075794,505.41808961331844,504.79011917167475,4038.320953373398
100,env_weather_cloud_cover_mean_futcov_lag2,431.948890209198,559.3918013572693,354.5005155913532,268.8606960386969,934.0877387747169,531.8338294029236,443.59060049057007,503.45915312353253,4027.6732249882602
101,env_weather_wind_gusts_10m_mean_futcov_lag-2,401.8246216773987,576.5700076818466,644.3717656433582,455.73110842704773,559.7203423976898,452.0023232502863,430.6751208305359,502.9850414154519,4023.8803313236153
102,darts_enc_fc_cyc_dayofyear_cos_futcov_lag1,82.5378885269165,272.6600036621094,1740.3529596328735,1395.5114459991455,0.0,9.935500144958496,0.0,500.14254256657193,4001.1403405325755
103,env_weather_wind_gusts_10m_max_futcov_lag3,239.00163221359253,428.2624981254339,428.349506855011,999.07261967659,295.8602998908609,460.2308384180069,638.3549437522888,498.44747699025487,3987.579815922039
104,env_weather_pressure_msl_mean_futcov_lag4,413.0845715999603,856.0779572315514,904.3729926347733,328.23281583189964,375.7626745700836,114.65084128081799,478.30573823675513,495.78394162654877,3966.27153301239
105,ewm_expdecay7_act_total_damage_events_pastcov_lag-1,339.23859989643097,665.1042437482974,344.07678058743477,745.5402400493622,393.99276503175497,548.8015213757753,411.74289906024933,492.64243567847217,3941.1394854277773
106,rolling_rmean7_7_total_ru_area_km2_pastcov_lag-1,331.1442702189088,352.2864719927311,657.5089615341276,494.36306738853455,585.702080822899,174.59778133034706,840.4875411987305,490.8700249266112,3926.96019941289
107,env_weather_cloud_cover_mean_futcov_lag-1,609.1484775990248,755.3766481280327,539.6066556721926,192.69974492490292,371.6513509452343,575.2312149628997,369.2702651619911,487.56919391346827,3900.553551307746
108,env_weather_shortwave_radiation_sum_futcov_lag6,442.66731119155884,455.76919797062874,508.78142589330673,516.9408636689186,411.05148363113403,248.7261905670166,813.4758128012763,485.34461224626284,3882.7568979701027
109,env_weather_rain_sum_futcov_lag3,903.8268967866898,199.43272948265076,339.1153700351715,147.94634199142456,927.2655448913574,171.6556429862976,695.1537170112133,483.48517759782925,3867.881420782634
110,env_weather_rain_sum_futcov_lag-1,662.5434706397355,268.35386872291565,544.757648229599,1019.0289969444275,296.12751948833466,334.00410509109497,258.79982515703887,483.3736334675923,3866.9890677407384
111,env_weather_precipitation_hours_futcov_lag0,798.167516885791,778.8612058162689,172.68206882476807,182.72481775283813,246.91058015823364,1002.0160455703735,195.6924911737442,482.43638945457394,3859.4911156365915
112,env_weather_pressure_msl_max_futcov_lag3,976.79366132617,208.93601095676422,279.9928005153779,322.7911579608917,302.64487886428833,917.8339179158211,348.1943503022194,479.59811112021896,3836.7848889617517
113,env_weather_pressure_msl_max_futcov_lag-1,556.120363632217,612.1121879816055,449.6838312149048,345.26785830035806,494.0945472717285,452.6435819119215,446.3403730392456,479.46610619314015,3835.728849545121
114,env_weather_pressure_msl_min_futcov_lag-2,413.92705726623535,390.5193922519684,906.4383064955473,370.3387071788311,123.46981889009476,515.4400023519993,624.2296868244339,477.7661387513014,3822.1291100104113
115,env_weather_rain_sum_futcov_lag0,269.02824268490076,783.5751838684082,206.456964969635,526.7471153736115,938.1370735168457,459.26693767122924,138.02852124985657,474.46286276206956,3795.7029020965565
116,env_weather_pressure_msl_min_futcov_lag6,541.2061280407943,570.5781370997429,597.5046560764313,378.54036712646484,426.77564883232117,354.8164527490735,448.30083099752665,473.96031727462207,3791.6825381969766
